iter	Passed	Remaining
967	7252	239
968	7256	232
969	7259	224
970	7264	216
971	7268	209
972	7272	201
973	7275	194
974	7281	186
975	7285	179
976	7288	171
977	7292	164
978	7297	156
979	7301	149
980	7305	141
981	7308	133
982	7314	126
983	7319	119
984	7326	111
985	7329	104
986	7333	96
987	7337	89
988	7342	81
989	7345	74
990	7349	66
991	7353	59
992	7359	51
993	7364	44
994	7369	37
995	7375	29
996	7380	22
997	7385	14
998	7391	7
999	7396	0
